Id,SalePrice
1461,108066.25070134435
1462,113034.3209201187
1463,154588.69264284018
1464,156822.41210032193
1465,129488.19765785558
1466,146705.7105921721
1467,135711.5544086726
1468,127747.12148752586
1469,139062.2461997079
1470,104121.25697963826
1471,144453.3461924979
1472,106695.77159855606
1473,105038.07036215173
1474,130203.5123014074
1475,83845.73067526039
1476,213015.80464762074
1477,159509.60643681898
1478,181457.86690170423
1479,176107.62871337682
1480,246462.72871592306
1481,220472.76994414302
1482,139290.88736477584
1483,129034.90174751611
1484,116857.52937512119
1485,117753.40737402147
1486,151118.77110180893
1487,228497.90962948152
1488,164514.30016561467
1489,129038.71405574371
1490,154110.86489066543
1491,152864.14058106518
1492,94511.13858025194
1493,135221.77654121805
1494,203693.08305553833
1495,208678.1688463811
1496,150696.7106088076
1497,145429.34468886405
1498,115971.51527711515
1499,111998.11302780411
1500,121064.28298502586
1501,142460.0533296144
1502,101413.23317335542
1503,174598.98377819185
1504,177341.83792976866
1505,163924.9659109755
1506,170373.5611946423
1507,218664.45226231843
1508,173918.1994074477
1509,136660.94910411013
1510,137096.7801506296
1511,118194.30190479371
1512,161896.61341109916
1513,142908.13445292594
1514,157723.3494025344
1515,194986.25756650962
1516,135954.25947559695
1517,120609.38673955978
1518,145425.15022358327
1519,171012.51884778906
1520,113531.18582373273
1521,120849.95917407247
1522,157098.35882406108
1523,112636.73158994537
1524,97378.88015957053
1525,90931.89012174381
1526,97830.97541984705
1527,94950.26687333142
1528,120517.7094373779
1529,112427.68235633335
1530,166254.84816593782
1531,151036.43444926912
1532,84616.83875691856
1533,115240.70128908403
1534,105784.94054524762
1535,138065.6084858583
1536,99034.97783756086
1537,89868.97216939942
1538,129812.68411567646
1539,170620.05911743475
1540,165600.3183309567
1541,128780.64317200985
1542,136885.64086137858
1543,162587.97097458533
1544,78535.16279801664
1545,92738.10596392995
1546,105694.62314291463
1547,128597.52726550309
1548,123957.3698370314
1549,110887.12343674208
1550,132484.925731846
1551,99821.45909460976
1552,151928.48607617573
1553,142556.05612177815
1554,102587.0923443809
1555,156548.9220726779
1556,93575.73952718599
1557,116662.76910985341
1558,83273.5385503137
1559,131134.73947505074
1560,145335.34229937755
1561,160583.2058212751
1562,85037.53237923788
1563,96903.19896982583
1564,134288.2850841316
1565,127859.12563901093
1566,169701.62658882924
1567,81379.27843520425
1568,198288.15757224706
1569,127153.9958502193
1570,91124.64600801007
1571,100231.10699998544
1572,124822.17551077435
1573,153379.71276139823
1574,127282.70215728448
1575,163978.94454869596
1576,187983.066201965
1577,125212.98235946178
1578,124944.58707928467
1579,106570.72285236874
1580,146823.6115787266
1581,107810.60457827161
1582,92751.71966889505
1583,201332.16568970768
1584,188304.65936055835
1585,100201.35744151163
1586,58770.17639932272
1587,83342.92189864129
1588,121251.79485039748
1589,108954.87405039938
1590,104072.76025218992
1591,87437.12476234937
1592,116790.35834365156
1593,91967.96221774908
1594,173155.6453753331
1595,137112.57916628537
1596,183971.62162220935
1597,188542.2169023425
1598,134696.30306918157
1599,113790.74132328165
1600,121639.49569398037
1601,60854.091939847465
1602,112314.06605836251
1603,77386.2875108847
1604,168687.26600075592
1605,172855.57242681205
1606,140646.49804411505
1607,175255.57876297305
1608,140038.6755780595
1609,120695.11957005503
1610,120791.45619562313
1611,118086.16296461574
1612,136733.1454372454
1613,143232.71953571137
1614,100893.69448738996
1615,96779.29891858768
1616,90258.91744151198
1617,91472.97349650232
1618,89918.21390958666
1619,99242.45700551964
1620,200328.6173502571
1621,117941.14046728292
1622,126610.82021200673
1623,159716.76180230526
1624,181502.68586660383
1625,95712.50816026892
1626,156160.56292988115
1627,153555.8258962209
1628,203364.69587534884
1629,127021.89420294166
1630,193584.04931999446
1631,144978.10921774132
1632,162378.00843918245
1633,121403.43300024165
1634,144523.7832657174
1635,130855.10196489433
1636,114451.69697026131
1637,185524.63044760455
1638,184567.686631577
1639,162155.2409695638
1640,219508.1048431938
1641,149342.52670098352
1642,161254.4418344746
1643,164251.59876162425
1644,162393.16585043725
1645,169658.22647071272
1646,121504.94066254825
1647,122032.81267680864
1648,114830.61419245212
1649,108533.60707313738
1650,101960.3164729806
1651,101685.3225545159
1652,97069.27396969646
1653,92580.08768677278
1654,130991.38699676991
1655,96989.91273609063
1656,124430.39687055307
1657,131324.2000222598
1658,128102.40863882126
